Model,MAE,RMSE,R2
Rolling 5 Game Average,1.9535792349726775,2.44865321147995,0.0026328803137785
Ridge Regression,1.7563586914126037,2.217648091286659,0.1819388978233554
Tuned Ridge,1.7523053870770333,2.2097498879205855,0.1877556070648797
Lasso,1.7500658987350792,2.204675719272369,0.19148157901344265
XGBoost,1.742783784866333,2.18741694701432,0.2040906548500061
