game_date,game_pk,pitcher,player_name,pitches,strikeouts,avg_velocity,avg_spin,avg_break_x,avg_break_z,csw,whiffs,called_strikes,rest_days,max_times_through_order,CSW%,k_last3,velo_last3,spin_last3,csw_last3,pitches_last3,velo_last6,velo_trend,k_std_last5,pitches_last5,whiff_last3,csw_last5,is_starter,CH_usage,CS_usage,CU_usage,EP_usage,FA_usage,FC_usage,FF_usage,FO_usage,FS_usage,KC_usage,KN_usage,PO_usage,SC_usage,SI_usage,SL_usage,ST_usage,SV_usage,UN_usage,opponent,opp_runs_last14,opp_k_rate_last14,opp_bb_rate_last14,opp_hr_rate_last14,opp_iso_last14,home_team,away_team,park_run_factor,park_hr_factor,last_avg_velocity,rolling3_avg_velocity,rolling5_avg_velocity,season_avg_velocity,last_avg_spin,rolling3_avg_spin,rolling5_avg_spin,season_avg_spin,last_avg_break_x,rolling3_avg_break_x,rolling5_avg_break_x,season_avg_break_x,last_avg_break_z,rolling3_avg_break_z,rolling5_avg_break_z,season_avg_break_z,last_csw,rolling3_csw,rolling5_csw,season_csw,last_whiffs,rolling3_whiffs,rolling5_whiffs,season_whiffs,last_called_strikes,rolling3_called_strikes,rolling5_called_strikes,season_called_strikes,predicted_strikeouts,prediction_rank,decision,actual_success,prediction_error
2024-08-21,746350,434378,"Verlander, Justin",76,6,88.74473684210527,2406.4210526315787,-0.3382894736842105,0.6909210526315789,27,9,18,73.0,3,0.3552631578947368,5.333333333333333,87.35153294371823,2398.435968675361,0.2779796229230458,101.0,87.58679787431909,-0.2352649306008629,3.130495168499706,100.0,9.333333333333334,0.2763940405029513,True,0.1184210526315789,0.0,0.2105263157894736,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1710526315789473,0.0,0.0,0.0,BOS,5.0,0.2329661999020987,0.0812891521957687,0.0412018407947853,0.1665857097031293,HOU,BOS,1.0,1.02,86.59207920792079,87.35153294371823,87.60815744918291,87.76863564822489,2397.980198019802,2398.435968675361,2397.0535003971354,2423.5406993060706,-0.1545544554455445,-0.2519949963991689,-0.2905140458708351,-0.2256635938830085,0.6810891089108911,0.7737192634098576,0.7844269816699095,0.7345406177322933,28.0,28.0,27.6,24.9,4.0,9.333333333333334,9.8,9.2,24.0,18.666666666666668,17.8,15.7,4.9465637,12.0,SIT,True,1.053436279296875
2024-08-27,745540,434378,"Verlander, Justin",90,3,87.09666666666666,2349.511111111111,-0.2332222222222222,0.6373333333333333,21,9,12,6.0,3,0.2333333333333333,4.333333333333333,87.85522073462407,2409.1273399607167,0.2909584986838765,93.66666666666669,87.79758734800329,0.0576333866207789,2.7748873851023217,95.6,7.0,0.2964262639186334,True,0.1,0.0,0.2111111111111111,0.0,0.0,0.0,0.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2555555555555555,0.0,0.0,0.0,PHI,5.142857142857143,0.2143764904312776,0.0633094676403877,0.026770664825254,0.1413270092973492,PHI,HOU,1.02,1.05,88.74473684210527,87.85522073462407,87.53057420535906,87.85737212039584,2406.4210526315787,2409.1273399607167,2396.5377109234514,2421.984367790208,-0.3382894736842105,-0.2481595148381234,-0.2857841855056364,-0.2359023102285724,0.6909210526315789,0.7364072333346695,0.7452642534207151,0.7305752027231375,27.0,26.666666666666668,28.0,25.09090909090909,9.0,7.0,10.0,9.181818181818182,18.0,19.666666666666668,18.0,15.909090909090908,5.1345077,13.0,START,False,-2.134507656097412
2024-09-02,746668,434378,"Verlander, Justin",107,3,87.12710280373832,2373.0841121495328,-0.4352336448598131,0.6218691588785046,28,9,19,6.0,3,0.2616822429906542,4.0,87.47782757223092,2384.6374539208305,0.2886080713334491,89.0,87.45825628224367,0.0195712899872546,2.549509756796393,93.8,7.333333333333333,0.2845070719994416,True,0.1308411214953271,0.0,0.2803738317757009,0.0,0.0,0.0,0.514018691588785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0747663551401869,0.0,0.0,0.0,CIN,4.785714285714286,0.21543426636432,0.0817266658955877,0.0411218166420571,0.1803522362952872,CIN,HOU,1.02,1.14,87.09666666666666,87.47782757223092,87.57920046798532,87.79397999925173,2349.511111111111,2384.6374539208305,2390.2480139537543,2415.9449297336164,-0.2332222222222222,-0.2420220504506591,-0.2654993370207879,-0.2356789695613765,0.6373333333333333,0.6697811649586011,0.729882435238897,0.7228050469406537,21.0,25.33333333333333,26.4,24.75,9.0,7.333333333333333,9.2,9.166666666666666,12.0,18.0,17.2,15.583333333333334,4.9088306,13.0,SIT,False,-1.9088306427001953
2024-09-08,746345,434378,"Verlander, Justin",75,0,89.044,2443.12,-0.408,0.8036000000000001,16,2,14,6.0,3,0.2133333333333333,4.0,87.65616877083676,2376.3387586307404,0.2834262447395748,91.0,87.50385085727748,0.1523179135592727,1.3038404810405329,95.6,9.0,0.2735782144751234,True,0.0933333333333333,0.0,0.1866666666666666,0.0,0.0,0.0,0.5466666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733333333333333,0.0,0.0,0.0,AZ,5.714285714285714,0.2337618338947158,0.0847876330090394,0.039165503426691,0.1711862806038182,HOU,AZ,1.0,1.02,87.12710280373832,87.65616877083676,87.55788633485545,87.74268175344301,2373.0841121495328,2376.3387586307404,2389.9954486285587,2412.64794376561,-0.4352336448598131,-0.3355817802554153,-0.2825868823192811,-0.2510293291997178,0.6218691588785046,0.6500411816144722,0.6936848384431692,0.71504074785895,28.0,25.33333333333333,25.8,25.0,9.0,9.0,7.8,9.153846153846152,19.0,16.333333333333332,18.0,15.846153846153848,4.9730153,15.0,SIT,False,-4.973015308380127
2024-09-14,746177,434378,"Verlander, Justin",89,2,87.15168539325843,2315.8426966292136,-0.3108988764044944,0.7671910112359551,19,8,11,6.0,3,0.2134831460674157,2.0,87.75592315680166,2388.571741086881,0.2361163032191069,90.66666666666669,87.80557194571287,-0.0496487889112131,2.121320343559645,89.8,6.666666666666667,0.268167958064867,True,0.1123595505617977,0.0,0.2022471910112359,0.0,0.0,0.0,0.4719101123595505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2134831460674157,0.0,0.0,0.0,LAA,4.214285714285714,0.2268258775004134,0.0941724379735237,0.0381654063221041,0.1463111891725544,LAA,HOU,1.01,1.05,89.044,87.75592315680166,87.72091710408621,87.83563305676851,2443.12,2388.571741086881,2394.023294782405,2414.824519210924,-0.408,-0.3588186223606784,-0.313859959242358,-0.2622415199711665,0.8036000000000001,0.6876008307372793,0.6869625307508616,0.7213664087261679,16.0,21.666666666666668,24.0,24.357142857142858,2.0,6.666666666666667,6.6,8.642857142857142,14.0,15.0,17.4,15.714285714285714,4.835873,16.0,SIT,False,-2.8358731269836426
2024-09-20,746340,434378,"Verlander, Justin",86,4,87.69534883720931,2418.0,-0.3487209302325581,0.6751162790697675,28,8,20,6.0,3,0.3255813953488372,1.6666666666666667,87.77426273233225,2377.3489362595824,0.2294995741304677,90.33333333333331,87.62604515228158,0.1482175800506695,2.167948338867882,87.4,6.333333333333333,0.2554190427238947,True,0.0930232558139534,0.0,0.2093023255813953,0.0,0.0,0.0,0.4883720930232558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2093023255813953,0.0,0.0,0.0,LAA,3.7142857142857135,0.2320335284171788,0.0952032283582578,0.0324792908936146,0.1265177587553892,HOU,LAA,1.0,1.02,87.15168539325843,87.77426273233225,87.83283834115373,87.79003654586784,2315.8426966292136,2377.3489362595824,2377.595794504288,2408.225731038809,-0.3108988764044944,-0.3847108404214359,-0.345128843434148,-0.2654853437333884,0.7671910112359551,0.7308867233714865,0.7041829112158744,0.7244213822268203,19.0,21.0,22.2,24.0,8.0,6.333333333333333,7.4,8.6,11.0,14.666666666666666,14.8,15.4,4.5685787,18.0,SIT,False,-0.5685787200927734
2024-09-28,746578,434378,"Verlander, Justin",95,5,87.26105263157893,2351.0526315789475,-0.242,0.590421052631579,22,9,13,8.0,3,0.231578947368421,2.0,87.96367807682259,2392.320898876405,0.2507992915831954,83.33333333333333,87.80992342382967,0.1537546529929159,1.5165750888103144,89.4,6.0,0.2494826902147147,True,0.1684210526315789,0.0,0.1578947368421052,0.0,0.0,0.0,0.3789473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2947368421052631,0.0,0.0,0.0,CLE,3.2857142857142856,0.2454425109887175,0.0764662815219057,0.0237281540692705,0.1256974910049945,CLE,HOU,1.0,0.98,87.69534883720931,87.96367807682259,87.62296074017455,87.78411856407668,2418.0,2392.320898876405,2379.9115839779715,2408.836622848884,-0.3487209302325581,-0.3558732688790176,-0.3472151347438176,-0.2706875678895865,0.6751162790697675,0.748635763435241,0.7010219565035121,0.7213398132795045,28.0,21.0,22.4,24.25,8.0,6.0,7.2,8.5625,20.0,15.0,15.2,15.6875,4.994508,14.0,SIT,True,0.005492210388183594
2024-08-01,747092,450203,"Morton, Charlie",97,6,88.09270833333333,2533.0729166666665,-0.3506249999999999,0.0152083333333333,27,15,12,6.0,3,0.2783505154639175,3.6666666666666665,86.82636968085107,2603.197089243499,0.2832446808510638,83.33333333333333,86.82246248790784,0.003907192943231,1.816590212458495,89.8,8.0,0.2897038935308812,True,0.09375,0.0,0.3854166666666667,0.0,0.0,0.0104166666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2604166666666667,0.0,0.0,0.0,0.0,MIA,4.642857142857143,0.2417342544495298,0.0925615118323809,0.0364361205607463,0.154901723876303,ATL,MIA,1.0,0.99,87.06166666666667,86.91204491725769,86.79965159574468,87.38600291481504,2613.15,2546.837234042553,2581.2714450354606,2502.163877441055,-0.0451666666666666,-0.111580378250591,-0.1073923758865248,-0.2042944835191682,-0.0124999999999999,-0.0243794326241134,-0.0400815602836879,0.3283699085165291,15.0,23.0,24.6,24.64864864864865,8.0,7.333333333333333,7.2,9.567567567567568,7.0,15.666666666666666,17.4,15.08108108108108,4.9121327,7.0,SIT,True,1.087867259979248
2024-08-08,747081,450203,"Morton, Charlie",84,3,86.95180722891567,2543.4939759036147,-0.1833734939759036,-0.092289156626506,22,5,17,7.0,2,0.2619047619047619,4.0,87.33053634751774,2553.3012559101658,0.2718615193390363,83.66666666666667,87.05767332696854,0.2728630205491953,1.51657508881031,88.4,10.0,0.2761432273928955,True,0.1566265060240964,0.0,0.3975903614457831,0.0,0.0,0.072289156626506,0.180722891566265,0.0,0.0,0.0,0.0,0.0,0.0,0.1927710843373494,0.0,0.0,0.0,0.0,MIL,4.285714285714286,0.2300273743806411,0.0879007908419722,0.0313697272284457,0.1435971129892278,ATL,MIL,1.0,0.99,88.09270833333333,87.33053634751774,87.08181028368794,87.40510306126149,2533.0729166666665,2553.3012559101658,2571.2690070921985,2502.9992568795847,-0.3506249999999999,-0.1801929669030733,-0.1531982269503546,-0.2082493623429745,0.0152083333333333,-0.0092036052009456,-0.030252659574468,0.3199060821602265,27.0,23.0,25.2,24.710526315789476,15.0,10.0,9.2,9.710526315789474,12.0,13.0,16.0,15.0,3.1608276,17.0,SIT,False,-0.16082763671875
2024-08-13,745302,450203,"Morton, Charlie",98,8,87.9795918367347,2592.3673469387754,-0.1777551020408163,-0.0203061224489795,27,12,15,5.0,3,0.2755102040816326,3.6666666666666665,87.36872740963855,2563.2389641900936,0.2634184257895598,80.33333333333333,87.03425658306988,0.3344708265686762,1.581138830084189,86.2,9.333333333333334,0.2779978639843742,True,0.1428571428571428,0.0,0.4285714285714285,0.0,0.0,0.0204081632653061,0.3265306122448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0816326530612244,0.0,0.0,0.0,0.0,SF,4.071428571428571,0.2663120777362732,0.070150135491355,0.0327677821145792,0.1499245825118706,SF,ATL,0.96,0.91,86.95180722891567,87.36872740963855,87.15613006280441,87.39317422356817,2543.4939759036147,2563.238964190094,2543.4157189395883,2504.064907380217,-0.1833734939759036,-0.1930550535475234,-0.1737479257455353,-0.2075947342280515,-0.092289156626506,-0.0298602744310575,-0.0300438242331026,0.3090588390342599,22.0,21.33333333333333,23.6,24.64102564102564,5.0,9.333333333333334,8.4,9.58974358974359,17.0,12.0,15.2,15.051282051282053,4.908707,13.0,SIT,True,3.0912928581237793
