game_date,game_pk,team,opponent,runs,plate_appearances,hits,home_runs,strikeouts,walks,iso,k_rate,bb_rate,hr_rate,runs_last14,k_rate_last14,bb_rate_last14,hr_rate_last14,iso_last14
2026-04-30,825016,ATH,KC,6,80,21,2,11,7,0.15,0.1375,0.0875,0.025,4.285714285714286,0.1998708060851919,0.10198108936070881,0.031268407639969534,0.14453928855281276
2026-05-01,825012,ATH,CLE,5,87,20,2,15,14,0.14942528735632185,0.1724137931034483,0.16091954022988506,0.022988505747126436,4.571428571428571,0.19002349759657905,0.0958087291122616,0.03305412192568382,0.15214798420498665
2026-05-02,825014,ATH,CLE,6,90,28,5,13,8,0.2111111111111111,0.14444444444444443,0.08888888888888889,0.05555555555555555,4.5,0.18399900019277132,0.0966852213680642,0.030835154189474707,0.14930770550263903
2026-05-03,825013,ATH,CLE,7,74,18,4,14,6,0.17567567567567569,0.1891891891891892,0.08108108108108109,0.05405405405405406,4.5,0.1863799525737237,0.09351061819346103,0.03400975736407788,0.15724421343914693
2026-05-05,823469,ATH,PHI,1,77,18,3,18,7,0.16883116883116883,0.23376623376623376,0.09090909090909091,0.03896103896103896,4.857142857142857,0.18542691997512148,0.09206885092890894,0.03696660209307451,0.1616550437993444
2026-05-06,823470,ATH,PHI,3,75,19,2,14,5,0.14666666666666667,0.18666666666666668,0.06666666666666667,0.02666666666666667,4.5,0.19310925151320893,0.08607969445431558,0.036282127067406696,0.15984478748145975
2026-05-07,823467,ATH,PHI,12,76,19,5,16,6,0.23684210526315788,0.21052631578947367,0.07894736842105263,0.06578947368421052,4.428571428571429,0.18629606470002208,0.08534709372171485,0.03360813439341402,0.15200595964263194
2026-05-08,824846,ATH,BAL,4,73,12,2,21,6,0.1095890410958904,0.2876712328767123,0.0821917808219178,0.0273972602739726,4.857142857142857,0.1894288967802226,0.088238938718823,0.03372862793496019,0.15060823456069633
2026-05-09,824847,ATH,BAL,6,81,20,1,21,8,0.1111111111111111,0.25925925925925924,0.09876543209876543,0.012345679012345678,4.785714285714286,0.19674932875818882,0.08793694069993001,0.033040072451884166,0.14697217841322469
2026-05-10,824845,ATH,BAL,1,69,10,0,20,9,0.043478260869565216,0.2898550724637681,0.13043478260869565,0.0,4.928571428571429,0.20187499013385019,0.09142018584984182,0.03213619238133743,0.1459801149211612
